Date,Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RISK_MM,RainTomorrow
19-12-2008,Albury,11.2,22.5,10.6,nan,nan,SSE,43,WSW,SW,24,17,47,32,1009.4,1009.7,nan,2,15.5,21,Yes,0,No
20-12-2008,Albury,9.8,25.6,0,nan,nan,SSE,26,SE,NNW,17,6,45,26,1019.2,1017.1,nan,nan,15.8,23.2,No,0,No
21-12-2008,Albury,11.5,29.3,0,nan,nan,S,24,SE,SE,9,9,56,28,1019.3,1014.8,nan,nan,19.1,27.3,No,0,No
22-12-2008,Albury,17.1,33,0,nan,nan,NE,43,NE,N,17,22,38,28,1013.6,1008.1,nan,1,24.5,31.6,No,0,No
23-12-2008,Albury,20.5,31.8,0,nan,nan,WNW,41,W,W,19,20,54,24,1007.8,1005.7,nan,nan,23.8,30.8,No,0,No
24-12-2008,Albury,15.3,30.9,0,nan,nan,N,33,ESE,NW,6,13,55,23,1011,1008.2,5,nan,20.9,29,No,0,No
25-12-2008,Albury,12.6,32.4,0,nan,nan,W,43,E,W,4,19,49,17,1012.9,1010.1,nan,nan,21.5,31.2,No,0,No
26-12-2008,Albury,16.2,33.9,0,nan,nan,WSW,35,SE,WSW,9,13,45,19,1010.9,1007.6,nan,1,23.2,33,No,0,No
27-12-2008,Albury,16.9,33,0,nan,nan,WSW,57,nan,W,0,26,41,28,1006.8,1003.6,nan,1,26.6,31.2,No,0,No
28-12-2008,Albury,20.1,32.7,0,nan,nan,WNW,48,N,WNW,13,30,56,15,1005.2,1001.7,nan,nan,24.6,32.1,No,0,No
29-12-2008,Albury,19.7,27.2,0,nan,nan,WNW,46,NW,WSW,19,30,49,22,1004.8,1004.2,nan,nan,21.6,26.1,No,1.2,Yes
30-12-2008,Albury,12.5,24.2,1.2,nan,nan,WNW,50,WSW,SW,11,22,78,70,1005.6,1003.4,8,8,12.5,18.2,Yes,0.8,No
31-12-2008,Albury,12,24.4,0.8,nan,nan,W,39,WNW,WNW,17,17,48,28,1006.1,1005.1,1,nan,16.9,22.7,No,0,No
01-01-2009,Albury,11.3,26.5,0,nan,nan,WNW,56,W,WNW,19,31,46,26,1004.5,1003.2,nan,nan,19.7,25.7,No,0,No
02-01-2009,Albury,9.6,23.9,0,nan,nan,W,41,WSW,SSW,19,11,44,22,1014.4,1013.1,nan,nan,14.9,22.1,No,0,No
03-01-2009,Albury,10.5,28.8,0,nan,nan,SSE,26,SSE,E,11,7,43,22,1018.7,1014.8,nan,nan,17.1,26.5,No,0,No
04-01-2009,Albury,12.3,34.6,0,nan,nan,WNW,37,SSE,NW,6,17,41,12,1015.1,1010.3,nan,nan,20.7,33.9,No,0,No
05-01-2009,Albury,12.9,35.8,0,nan,nan,WNW,41,ENE,NW,6,26,41,9,1012.6,1009.2,nan,nan,22.4,34.4,No,0,No
06-01-2009,Albury,13.7,37.9,0,nan,nan,W,52,SE,WNW,4,26,33,8,1010.9,1006.7,nan,nan,23.1,36.8,No,0,No
07-01-2009,Albury,16.1,38.9,0,nan,nan,W,57,E,W,6,30,34,12,1007,1002.7,nan,nan,25.2,38.4,No,0,No
08-01-2009,Albury,14,28.3,0,nan,nan,W,48,W,WSW,17,24,43,15,1011.9,1010.9,nan,nan,17.9,27.6,No,0,No
09-01-2009,Albury,12.5,28.4,0,nan,nan,NE,37,SSE,S,20,9,38,16,1017.8,1013.7,nan,nan,17.2,26.6,No,0,No
10-01-2009,Albury,17,30.8,0,nan,nan,NE,37,NNE,E,15,11,36,24,1013.4,1008.1,nan,nan,20.2,29.3,No,0,No
11-01-2009,Albury,16.9,32,0,nan,nan,S,31,SSE,N,13,17,52,31,1009.9,1006.8,nan,nan,22.8,30,No,0,No
12-01-2009,Albury,17.3,34.7,0,nan,nan,SW,35,SE,WSW,7,15,48,16,1014.1,1012.1,nan,nan,24.2,33.2,No,0,No
13-01-2009,Albury,17.2,37.7,0,nan,nan,NNW,35,SE,NW,7,17,51,19,1015.7,1010.9,nan,nan,24.3,35.7,No,0,No
14-01-2009,Albury,17.4,43,0,nan,nan,NW,39,SSE,SSW,7,17,40,8,1011.6,1006.9,nan,nan,25.6,41.5,No,0,No
15-01-2009,Albury,19.8,32.7,0,nan,nan,WNW,44,W,W,20,28,34,28,1008.4,1009.2,nan,nan,27.6,27.1,No,0,No
16-01-2009,Albury,14.9,26.7,0,nan,nan,SW,56,WSW,SW,20,31,46,20,1014.1,1012.7,nan,nan,18,25.5,No,0,No
17-01-2009,Albury,10.5,28.4,0,nan,nan,SE,33,SE,SW,19,11,35,16,1019.7,1017.4,nan,nan,16,25.8,No,0,No
18-01-2009,Albury,11.3,32.2,0,nan,nan,WNW,28,ENE,SSW,17,15,34,17,1019.7,1016.2,nan,nan,20.9,30.5,No,0,No
19-01-2009,Albury,13.9,36.6,0,nan,nan,WNW,39,SSE,NNE,2,15,39,10,1015.8,1010.6,nan,nan,22,34.4,No,0,No
20-01-2009,Albury,18.6,39.9,0,nan,nan,NNW,61,SSE,WNW,9,20,36,21,1010.1,1004.8,nan,nan,26.8,37.7,No,0.8,No
21-01-2009,Albury,19.3,38.1,0.8,nan,nan,NNW,61,NE,WSW,15,17,48,17,1009.6,1005.9,nan,nan,27.3,36.1,No,0.6,No
22-01-2009,Albury,24.4,34,0.6,nan,nan,NW,98,N,NNW,26,48,60,39,1005.3,997.8,4,1,26.1,33.1,No,6.4,Yes
23-01-2009,Albury,18.8,35.2,6.4,nan,nan,WNW,52,S,NW,6,28,43,28,1007.9,1003.9,nan,nan,22.8,33,Yes,0,No
24-01-2009,Albury,20.8,30.6,0,nan,nan,W,54,W,W,30,28,41,21,1005.4,1007.6,nan,nan,23.3,29.7,No,0,No
25-01-2009,Albury,14,34.3,0,nan,nan,WSW,24,ESE,SSE,7,13,44,10,1016.5,1014.6,nan,nan,21.2,32.1,No,0,No
26-01-2009,Albury,15.7,38.4,0,nan,nan,S,33,SSE,WSW,7,7,48,12,1017.7,1014.6,nan,nan,23.4,36.5,No,0,No
27-01-2009,Albury,18.5,38.2,0,nan,nan,NNE,31,SE,NNW,9,17,48,25,1017.8,1014.1,nan,nan,25.8,36.2,No,0,No
28-01-2009,Albury,20.4,40.7,0,nan,nan,N,37,E,NNE,7,13,45,15,1014.9,1011.6,nan,nan,28.2,39.2,No,0,No
29-01-2009,Albury,21.8,41.5,0,nan,nan,SW,24,ESE,S,6,11,38,13,1015.7,1011.8,nan,nan,29,40.1,No,0,No
30-01-2009,Albury,22.3,42.9,0,nan,nan,NNE,28,ESE,SE,9,11,37,11,1014.6,1010.2,nan,nan,29.2,41.2,No,0,No
31-01-2009,Albury,22,42.7,0,nan,nan,ESE,48,ESE,SW,4,4,33,11,1014.2,1010.5,nan,nan,29.9,42,No,0,No
01-02-2009,Albury,28,43.1,0,nan,nan,SW,83,SE,E,15,9,27,9,1012.5,1008.7,nan,nan,32.4,41.9,No,0.2,No
02-02-2009,Albury,24.4,38.3,0.2,nan,nan,SW,56,NE,NW,19,7,32,21,1011.7,1007.4,nan,nan,28.8,37.1,No,0,No
03-02-2009,Albury,21.5,37.7,0,nan,nan,nan,nan,N,nan,13,9,51,21,1009.2,1005.7,nan,nan,27.2,36.2,No,0,No
04-02-2009,Albury,21.7,36.9,0,nan,nan,nan,nan,nan,nan,11,11,53,26,1008.8,1004.7,nan,nan,25.5,35.2,No,0,No
05-02-2009,Albury,21.5,41.2,0,nan,nan,WSW,35,SSE,S,7,19,48,15,1005.9,1002.6,nan,nan,26.5,39.7,No,0,No
06-02-2009,Albury,23.5,42.2,0,nan,nan,W,37,SE,W,6,15,39,8,1008,1005,nan,nan,28.7,41.6,No,0,No
07-02-2009,Albury,22.3,44.8,0,nan,nan,NNW,59,SE,NW,9,33,36,11,1008.2,1003.8,nan,nan,29.6,43.4,No,0,No
08-02-2009,Albury,28.3,40.2,0,nan,nan,NW,52,N,W,9,22,20,19,1007,1006.5,nan,5,34.5,38.5,No,0.4,No
09-02-2009,Albury,18.4,31.2,0.4,nan,nan,SE,37,SW,WSW,7,11,66,31,1009.3,1007.8,7,8,18.7,29.4,No,0,No
10-02-2009,Albury,14.9,27.3,0,nan,nan,SSE,41,SSE,SE,20,13,50,30,1011.6,1008.5,nan,1,17.4,25.8,No,0,No
11-02-2009,Albury,13.5,26.7,0,nan,nan,SSE,46,SSE,E,19,11,45,24,1012.8,1011.1,nan,nan,16.7,24.9,No,0,No
12-02-2009,Albury,16.1,21.6,0,nan,nan,SE,46,SSE,NE,11,15,58,69,1017,1017.3,2,8,17,17.3,No,3,Yes
13-02-2009,Albury,14.6,29,3,nan,nan,SSE,41,SE,SSE,26,24,41,21,1023.3,1019.7,nan,nan,18,27.6,Yes,0,No
14-02-2009,Albury,12.4,29.2,0,nan,nan,NE,39,S,nan,7,0,37,18,1022.5,1016.4,nan,nan,18.3,28.5,No,0,No
15-02-2009,Albury,13.3,31.3,0,nan,nan,NNE,41,SSE,SSW,7,15,50,23,1016.2,1012.8,nan,nan,19.2,29.2,No,0,No
16-02-2009,Albury,17.2,31.1,0,nan,nan,E,35,SE,ESE,17,11,43,22,1017.7,1013.8,nan,nan,21.4,29.5,No,0,No
17-02-2009,Albury,12.5,28.8,0,nan,nan,N,31,SSE,ENE,7,11,46,17,1017.2,1013.5,nan,nan,18,27,No,0,No
18-02-2009,Albury,18,32,0,nan,nan,NW,31,ENE,SW,4,13,44,22,1012.4,1007.5,nan,nan,22.1,30.7,No,0,No
19-02-2009,Albury,16.2,34,0,nan,nan,WSW,48,SE,WSW,4,22,53,16,1007.8,1004.5,nan,nan,21,32.7,No,0,No
20-02-2009,Albury,18.7,29.1,0,nan,nan,SSW,41,NNW,SSE,7,17,45,39,1010.1,1010.8,nan,nan,21.5,26.8,No,0,No
21-02-2009,Albury,13.7,31.7,0,nan,nan,SSE,28,SSE,S,2,9,63,19,1012.5,1010.4,nan,nan,19.3,29.8,No,0,No
22-02-2009,Albury,15.5,33.2,0,nan,nan,NW,31,S,WNW,11,15,49,23,1015.6,1012.4,nan,nan,20.9,31.3,No,0,No
23-02-2009,Albury,14.3,34,0,nan,nan,NW,70,SE,NW,6,22,48,10,1013,1009.2,nan,nan,20.7,33.4,No,0,No
24-02-2009,Albury,12.9,29.6,0,nan,nan,WNW,46,SW,WNW,7,24,54,14,1014,1012.7,6,7,18.7,28.6,No,0,No
25-02-2009,Albury,8.9,31.9,0,nan,nan,WNW,43,nan,WSW,0,17,49,16,1016.6,1013.4,7,7,15,29.3,No,0,No
26-02-2009,Albury,15,32.7,0,nan,nan,ESE,26,ESE,S,15,2,43,19,1017.8,1015,nan,nan,20.7,30.5,No,0,No
27-02-2009,Albury,15.4,32.6,0,nan,nan,W,24,nan,S,0,6,53,25,1016.2,1012.6,nan,nan,20,30.8,No,0,No
28-02-2009,Albury,16,34.5,0,nan,nan,WSW,44,E,nan,6,nan,44,14,1007.5,1004.6,nan,nan,22.2,33.6,No,0,No
01-03-2009,Albury,12.8,30.3,0,nan,nan,W,30,W,WSW,4,13,53,27,1010.5,1008.7,nan,nan,17.3,28.1,No,0,No
02-03-2009,Albury,13.2,31.9,0,nan,nan,NNW,35,S,ENE,6,9,53,25,1014.1,1011.6,nan,nan,18,29.8,No,0,No
03-03-2009,Albury,18,31.1,0,nan,nan,WNW,52,NE,NNE,15,26,58,35,1014.7,1009,5,nan,23,29.2,No,0.2,No
04-03-2009,Albury,13.8,22.1,0.2,nan,nan,WNW,57,W,WNW,26,33,57,26,1014.5,1013.1,nan,nan,15.6,21.9,No,0,No
05-03-2009,Albury,11.5,22,0,nan,nan,SW,50,WSW,W,19,33,60,33,1013.7,1011.8,nan,nan,13.9,21.4,No,0,No
06-03-2009,Albury,7.6,24,0,nan,nan,WSW,30,nan,WNW,0,13,52,23,1014.5,1012,nan,nan,12.6,22,No,0,No
07-03-2009,Albury,8.3,27.9,0,nan,nan,W,37,S,W,4,20,58,22,1015.2,1012.4,nan,nan,13.3,27,No,0,No
08-03-2009,Albury,11,30.2,0,nan,nan,SSE,24,E,SSE,7,11,54,20,1017,1014.7,nan,nan,17.6,28.8,No,0,No
09-03-2009,Albury,13.8,31.8,0,nan,nan,NNE,24,SSE,NE,6,17,49,28,1019.7,1015.9,nan,nan,18.6,30.5,No,0,No
10-03-2009,Albury,15.5,32,0,nan,nan,NE,50,ESE,E,2,4,51,25,1019.5,1016.2,nan,nan,20.1,30.8,No,1.2,Yes
11-03-2009,Albury,18.4,30.5,1.2,nan,nan,NE,44,NE,N,15,19,57,23,1021.3,1018,nan,nan,21.5,29.6,Yes,0,No
12-03-2009,Albury,20.9,25.7,0,nan,nan,W,37,ENE,S,11,9,52,90,1019.5,1018.9,nan,8,22.2,18.8,No,5.8,Yes
13-03-2009,Albury,17.1,25.8,5.8,nan,nan,ENE,31,nan,S,0,13,82,68,1017.4,1014.7,8,nan,19,23.8,Yes,3,Yes
14-03-2009,Albury,16.4,27,3,nan,nan,SW,69,E,N,9,22,82,74,1012.7,1008,nan,4,19.9,19.7,Yes,11.6,Yes
15-03-2009,Albury,10,19.7,11.6,nan,nan,WNW,39,W,NW,11,17,62,41,1013.4,1012,nan,8,12.7,18.3,Yes,0,No
16-03-2009,Albury,8.8,21.9,0,nan,nan,W,39,S,WNW,2,20,78,34,1013.3,1011.6,nan,6,12.2,20.5,No,0,No
17-03-2009,Albury,8.4,25.3,0,nan,nan,WNW,35,SSE,WSW,9,17,78,34,1015.6,1013.2,nan,nan,12.1,23.9,No,0,No
18-03-2009,Albury,9.3,28,0,nan,nan,NW,52,SSE,NW,6,11,76,19,1017.4,1013.9,nan,nan,14.7,27.2,No,0,No
19-03-2009,Albury,11.3,30.1,0,nan,nan,WSW,24,S,SW,6,7,56,15,1016.3,1013.6,nan,nan,14.7,29.3,No,0,No
20-03-2009,Albury,11.5,33.5,0,nan,nan,SSE,22,NE,N,7,7,50,13,1016.5,1013.6,nan,nan,17.4,32.6,No,0,No
21-03-2009,Albury,13.8,33.6,0,nan,nan,NNW,28,nan,NNE,0,11,47,17,1017,1013.1,nan,2,18.8,33.5,No,0,No
22-03-2009,Albury,14.6,30,0,nan,nan,NE,37,E,NNE,4,19,56,30,1014.8,1012.7,3,1,18.1,29,No,0,No
23-03-2009,Albury,14.4,31.6,0,nan,nan,NW,37,nan,WNW,0,24,63,25,1013.7,1011.8,nan,nan,18.8,31.4,No,0,No
24-03-2009,Albury,10.8,31.9,0,nan,nan,S,48,SSE,WNW,6,20,62,20,1016.5,1014.4,nan,nan,15.4,30.7,No,0.4,No
25-03-2009,Albury,15.4,22.3,0.4,nan,nan,ENE,30,SSE,SSE,11,9,69,78,1017.4,1019.2,8,8,18.3,19.6,No,1.8,Yes
26-03-2009,Albury,13.3,29.8,1.8,nan,nan,WSW,33,nan,WNW,0,20,87,26,1019.1,1017.2,nan,6,16.2,29.2,Yes,0,No
27-03-2009,Albury,10.1,27.6,0,nan,nan,WNW,43,nan,W,0,11,63,30,1023,1020.7,nan,nan,16.5,26.8,No,0,No
28-03-2009,Albury,9.1,28.9,0,nan,nan,NNW,24,N,N,2,17,60,26,1023.8,1020.6,nan,nan,14,27.7,No,0,No
29-03-2009,Albury,10.4,31.2,0,nan,nan,S,22,nan,SE,0,6,60,18,1022.4,1019.1,nan,nan,16,29.9,No,0,No
30-03-2009,Albury,13.4,30.4,0,nan,nan,ENE,22,nan,SE,0,9,57,16,1023,1019.5,nan,nan,17.2,29.2,No,0,No
31-03-2009,Albury,12.3,29.9,0,nan,nan,WSW,26,S,SSW,2,13,61,25,1023.2,1019.5,nan,nan,17.1,28.6,No,0,No
01-04-2009,Albury,12.2,30.6,0,nan,nan,SE,22,nan,ENE,0,6,59,22,1022.6,1019.4,nan,nan,16.6,29.5,No,0,No
02-04-2009,Albury,14.3,32.1,0,nan,nan,NE,28,nan,ENE,0,11,59,30,1022.6,1018.4,nan,nan,18.4,30.9,No,8.6,Yes
03-04-2009,Albury,18.4,28.1,8.6,nan,nan,W,98,E,NNE,7,17,92,49,1018.8,1012.9,8,6,19,27.4,Yes,12.6,Yes
04-04-2009,Albury,10.7,21.4,12.6,nan,nan,W,43,nan,WSW,0,13,60,33,1019.8,1019.3,nan,nan,13.9,20.3,Yes,0,No
05-04-2009,Albury,7.8,21.7,0,nan,nan,WSW,31,E,NW,6,19,72,37,1020.4,1016.5,nan,nan,12.9,21.2,No,0,No
06-04-2009,Albury,8.1,21.4,0,nan,nan,W,35,SSE,WSW,13,19,58,20,1021.8,1019.6,nan,nan,13.8,20.9,No,0,No
07-04-2009,Albury,7.5,22.5,0,nan,nan,SE,28,S,S,7,7,55,27,1026.7,1023.5,nan,nan,13.3,21.6,No,0,No
08-04-2009,Albury,8.2,24,0,nan,nan,SSE,17,SSE,SSE,7,13,60,30,1027.1,1023.4,nan,nan,13.8,23.5,No,0,No
09-04-2009,Albury,8.1,25.7,0,nan,nan,ENE,22,ESE,S,9,13,67,27,1024.2,1019.6,nan,nan,15.1,25,No,0,No
10-04-2009,Albury,11.6,26.7,0,nan,nan,W,48,SE,NE,6,11,59,42,1021.5,1017.7,8,7,16.4,24.3,No,8.4,Yes
11-04-2009,Albury,13,24.9,8.4,nan,nan,W,46,S,E,6,11,75,47,1024.4,1020.3,8,6,18,24.4,Yes,6.2,Yes
12-04-2009,Albury,13.5,24.2,6.2,nan,nan,WSW,20,nan,SE,0,6,88,52,1024.1,1020.8,8,nan,15.4,23.1,Yes,0,No
13-04-2009,Albury,9.9,25.4,0,nan,nan,NNE,19,ENE,SSW,4,7,65,35,1023,1018.7,nan,nan,16.1,25,No,0,No
14-04-2009,Albury,12.2,25,0,nan,nan,WNW,30,nan,W,0,15,68,39,1016.3,1011.6,6,nan,16.2,24.6,No,0,No
15-04-2009,Albury,10.7,21.9,0,nan,nan,W,63,NW,W,26,31,44,27,1008.2,1009.8,2,nan,20.5,18.9,No,0,No
16-04-2009,Albury,3.5,20,0,nan,nan,W,31,nan,WNW,0,13,65,30,1016.3,1012.8,nan,nan,9.6,19.4,No,0,No
17-04-2009,Albury,6.6,21.6,0,nan,nan,WNW,26,ENE,W,6,11,59,39,1018.5,1016.8,5,1,12.6,21.6,No,0,No
18-04-2009,Albury,7,23.4,0,nan,nan,W,24,SSE,W,2,17,73,37,1022.8,1019.3,nan,nan,12.4,22.9,No,0,No
19-04-2009,Albury,11.2,23.9,0,nan,nan,SE,31,SE,SE,13,15,54,33,1022.7,1019.6,nan,nan,18,23.6,No,0,No
20-04-2009,Albury,7.4,22,0,nan,nan,SSE,28,SE,SE,2,7,58,29,1023.6,1020,nan,nan,14.1,21.3,No,0,No
21-04-2009,Albury,5.7,21.4,0,nan,nan,ESE,17,ENE,SSE,6,7,68,39,1025.2,1020.9,nan,nan,12.2,20.9,No,0,No
22-04-2009,Albury,6.2,22.7,0,nan,nan,ESE,17,nan,SW,0,7,73,33,1026,1021.6,nan,nan,11.2,22.3,No,0,No
23-04-2009,Albury,6,22.9,0,nan,nan,NE,33,nan,NE,0,20,68,34,1021.3,1015.7,nan,nan,12.9,22.6,No,0,No
24-04-2009,Albury,10.6,16.2,0,nan,nan,WNW,39,ESE,NNE,7,4,74,86,1008.9,1002.4,8,8,14.9,15.1,No,20,Yes
25-04-2009,Albury,12.9,15.8,20,nan,nan,W,70,WNW,NNW,19,15,83,89,1004.8,1000.9,8,8,13.3,14.5,Yes,21,Yes
26-04-2009,Albury,8.6,12.9,21,nan,nan,NNW,63,NW,WNW,26,31,77,62,1004,1003.3,8,8,9.5,11.6,Yes,3.2,Yes
27-04-2009,Albury,4.5,11.5,3.2,nan,nan,NW,26,N,NNW,9,13,82,79,1013.8,1013.5,8,8,7.6,9.4,Yes,4.8,Yes
28-04-2009,Albury,7.6,14.5,4.8,nan,nan,WNW,35,W,W,15,20,83,48,1018,1018.3,8,1,10.1,14,Yes,0,No
29-04-2009,Albury,5.4,12.2,0,nan,nan,SSE,19,SE,SSE,9,7,62,46,1023.1,1020.9,nan,8,8.2,12.1,No,0,No
30-04-2009,Albury,2.1,16.5,0,nan,nan,SW,19,nan,SW,0,7,70,38,1023.4,1021.5,nan,nan,7.9,16.1,No,0,No
01-05-2009,Albury,1.8,17,0,nan,nan,SW,19,nan,WSW,0,7,77,44,1026,1023.2,nan,nan,7.2,16.3,No,0,No
02-05-2009,Albury,7.2,19.2,0,nan,nan,SW,22,ENE,W,7,6,81,49,1026.9,1024,8,4,10.1,19.1,No,0,No
03-05-2009,Albury,4.6,18.9,0,nan,nan,S,15,N,SSE,4,7,75,51,1028.7,1025.9,nan,nan,10.6,18.5,No,0,No
04-05-2009,Albury,4.2,19.1,0,nan,nan,W,19,ENE,WSW,6,13,86,44,1029.8,1027.3,nan,nan,9.6,18.8,No,0,No
05-05-2009,Albury,5.2,18.8,0,nan,nan,ESE,15,nan,SE,0,7,71,47,1031.4,1028.1,nan,nan,10.3,18.4,No,0,No
06-05-2009,Albury,4.1,19.3,0,nan,nan,SW,20,ENE,WNW,6,7,82,49,1028.5,1024.6,nan,nan,10,19.2,No,0,No
07-05-2009,Albury,3.2,18.4,0,nan,nan,SW,20,SE,WNW,6,11,86,49,1026.2,1023.6,nan,nan,8.3,18.2,No,0,No
08-05-2009,Albury,4.3,19,0,nan,nan,W,15,nan,W,0,9,68,36,1028.8,1025.8,nan,nan,11,18.5,No,0,No
09-05-2009,Albury,3.7,20.5,0,nan,nan,W,17,nan,WSW,0,7,78,45,1026,1021.8,nan,nan,9.4,20.2,No,0,No
10-05-2009,Albury,5.4,19.5,0,nan,nan,SE,17,nan,SE,0,7,69,40,1025.1,1022.3,nan,nan,11.7,19.1,No,0,No
11-05-2009,Albury,4.3,17.7,0,nan,nan,ESE,15,NNW,S,6,7,89,53,1025.6,1022.2,8,nan,8.5,17.7,No,0,No
12-05-2009,Albury,3.6,18.5,0,nan,nan,W,26,ENE,WNW,4,17,81,49,1022.3,1018.5,nan,nan,9.1,18,No,0,No
13-05-2009,Albury,3.6,15.1,0,nan,nan,WNW,28,SE,W,4,17,86,61,1018.4,1015.7,nan,8,7.5,14.6,No,0,No
14-05-2009,Albury,6.9,16.3,0,nan,nan,WNW,35,WNW,WNW,17,19,77,59,1015.3,1013.1,8,8,10.3,15.3,No,0,No
15-05-2009,Albury,10.3,16.6,0,nan,nan,WNW,54,NW,NW,13,19,82,63,1015,1011,8,7,12.9,15.9,No,1.8,Yes
16-05-2009,Albury,12.4,16.4,1.8,nan,nan,W,52,W,WSW,22,24,82,54,1011.8,1013.4,8,8,13,14.5,Yes,0,No
17-05-2009,Albury,3,15.6,0,nan,nan,W,20,E,E,6,9,83,61,1022.5,1019.3,4,nan,7,14.7,No,0,No
18-05-2009,Albury,2.6,19.7,0,nan,nan,E,13,nan,ENE,0,4,82,34,1024.7,1021.2,nan,nan,8.8,18.7,No,0,No
19-05-2009,Albury,3.7,19.1,0,nan,nan,SSE,19,nan,SSE,0,11,87,51,1023.6,1019.9,nan,nan,7.4,18.9,No,0,No
20-05-2009,Albury,5.1,18.6,0,nan,nan,E,13,SSE,ENE,2,9,75,57,1022.8,1020.5,7,7,12.4,18,No,0,No
21-05-2009,Albury,4.4,19.8,0,nan,nan,SE,20,nan,SE,0,7,81,48,1025.2,1022.3,nan,nan,9.4,19.1,No,0,No
22-05-2009,Albury,4.7,19.8,0,nan,nan,SE,24,S,SE,4,19,75,43,1025.2,1021.4,nan,nan,10.1,19.6,No,0,No
23-05-2009,Albury,6.2,22.9,0,nan,nan,E,30,NE,SE,6,9,71,37,1022.2,1019.4,nan,nan,11.9,21.7,No,0,No
24-05-2009,Albury,6.7,21.1,0,nan,nan,SE,20,nan,SE,0,11,69,43,1025,1022.1,nan,nan,12.5,20.8,No,0,No
25-05-2009,Albury,9.3,20.3,0,nan,nan,NE,31,SE,NE,9,22,77,50,1024.6,1019.7,2,8,11.6,19.5,No,4.2,Yes
26-05-2009,Albury,11.6,18.1,4.2,nan,nan,E,19,E,SSE,2,6,97,74,1021.4,1019.2,8,3,13.6,17.4,Yes,0.8,No
27-05-2009,Albury,8,16.2,0.8,nan,nan,W,20,nan,WSW,0,11,99,58,1021.7,1019.3,8,nan,10.1,15.6,No,0,No
28-05-2009,Albury,2.6,15.7,0,nan,nan,SSE,13,nan,S,0,2,91,48,1023.4,1021.6,nan,nan,7.1,15.3,No,0,No
29-05-2009,Albury,2.2,16.5,0,nan,nan,ESE,33,nan,SE,0,19,67,44,1025.6,1024,nan,nan,10.2,15.9,No,0,No
30-05-2009,Albury,2.2,16.8,0,nan,nan,SE,26,nan,SE,0,15,65,44,1030.3,1028.5,nan,nan,9.6,16.7,No,0,No
